source,target,weight,nc_alpha
645,726,919,0.0
153,733,919,0.0
157,674,918,0.0
199,94,917,0.0
259,343,917,0.0
308,645,917,0.0
308,1573,917,0.0
203,861,917,0.0
1548,1565,917,0.0
885,852,916,0.0
280,1518,912,0.0
1367,1371,911,0.0
1752,1642,910,0.0
225,203,909,0.0
627,1417,909,0.0
565,611,909,0.0
806,333,907,0.0
591,201,905,0.0
691,565,905,0.0
858,1096,905,0.0
1579,1571,905,0.0
292,1808,904,0.0
1096,1653,903,0.0
1264,1205,902,0.0
697,741,900,0.0
1788,1784,899,0.0
157,865,898,0.0
574,622,898,0.0
648,687,897,0.0
1542,847,897,0.0
286,851,897,0.0
651,673,896,0.0
733,488,895,0.0
1254,1268,894,0.0
1796,1851,894,0.0
1733,1598,893,0.0
627,2183,893,0.0
806,924,892,0.0
730,652,891,0.0
893,236,889,0.0
661,488,889,0.0
1642,1610,889,0.0
682,537,888,0.0
280,1548,887,0.0
891,128,887,0.0
94,571,887,0.0
724,714,886,0.0
506,683,885,0.0
127,128,884,0.0
691,687,884,0.0
1201,1788,884,0.0
527,726,883,0.0
1659,1809,881,0.0
292,1096,881,0.0
965,726,880,0.0
1261,1260,880,0.0
193,1548,879,0.0
1254,1598,879,0.0
204,368,878,0.0
665,722,878,0.0
875,1456,877,0.0
1734,340,876,0.0
292,461,875,0.0
627,1264,875,0.0
893,1518,873,0.0
132,53,873,0.0
1752,1833,873,0.0
645,1294,872,0.0
875,766,872,0.0
1734,1761,872,0.0
204,1254,869,0.0
651,650,869,0.0
193,368,868,0.0
259,1272,868,0.0
891,1734,868,0.0
128,1894,868,0.0
554,1005,868,0.0
506,598,868,0.0
858,1548,868,0.0
1666,1653,867,0.0
204,461,867,0.0
625,1366,867,0.0
225,1542,866,0.0
1653,1633,866,0.0
102,128,865,0.0
1261,1265,865,0.0
1093,1548,864,0.0
365,1734,862,0.0
201,781,862,0.0
193,700,861,0.0
1659,1542,860,0.0
663,598,860,0.0
1745,1769,860,0.0
1659,858,859,0.0
1033,1573,859,0.0
771,864,859,0.0
579,541,858,0.0
733,539,857,0.0
1733,1667,856,0.0
1748,1770,856,0.0
209,753,855,0.0
893,461,854,0.0
199,1064,853,0.0
132,153,853,0.0
461,1054,853,0.0
663,664,852,0.0
568,618,852,0.0
1575,1580,852,0.0
506,643,851,0.0
1560,1565,851,0.0
591,1005,850,0.0
1184,725,850,0.0
259,1450,849,0.0
741,619,849,0.0
308,864,848,0.0
691,1323,848,0.0
765,1507,848,0.0
1733,1033,847,0.0
203,1456,847,0.0
53,575,847,0.0
965,1353,847,0.0
865,1456,847,0.0
308,856,846,0.0
365,904,846,0.0
651,541,846,0.0
506,512,846,0.0
1548,1567,846,0.0
627,986,845,0.0
648,1254,845,0.0
813,286,845,0.0
286,763,845,0.0
1656,1630,845,0.0
1734,1642,844,0.0
203,1096,843,0.0
575,2177,842,0.0
682,488,842,0.0
259,53,841,0.0
769,864,841,0.0
730,727,840,0.0
806,1205,840,0.0
904,343,840,0.0
292,236,839,0.0
259,1507,839,0.0
1201,1614,839,0.0
1264,1790,838,0.0
730,689,837,0.0
893,700,837,0.0
1201,1548,837,0.0
199,1093,836,0.0
971,736,836,0.0
461,1101,836,0.0
1064,1548,836,0.0
77,663,835,0.0
1456,2085,835,0.0
1825,1759,835,0.0
574,727,834,0.0
565,674,834,0.0
905,912,834,0.0
574,974,833,0.0
575,556,833,0.0
157,286,832,0.0
1598,1706,832,0.0
1778,1845,832,0.0
618,643,832,0.0
259,1101,831,0.0
758,769,831,0.0
1748,1769,831,0.0
800,340,830,0.0
625,2189,829,0.0
132,1189,829,0.0
651,630,829,0.0
579,653,829,0.0
574,588,828,0.0
625,1417,828,0.0
806,1294,828,0.0
682,688,828,0.0
1542,1734,828,0.0
1093,1530,828,0.0
1456,1515,828,0.0
575,676,827,0.0
627,613,827,0.0
597,2191,826,0.0
1706,1716,826,0.0
682,602,825,0.0
885,890,825,0.0
691,1095,824,0.0
682,569,823,0.0
725,729,823,0.0
199,1591,822,0.0
627,650,822,0.0
554,498,822,0.0
691,622,819,0.0
157,1417,818,0.0
